hospital_name,phone_number,fk_location_id,opening_time,closing_time
코로나19 중앙 예방접종센터,02-2260-7114,11140,9:00,18:00
코로나19 중부권역 예방접종센터,1339,44131,9:00,18:00
코로나19 호남권역 예방접종센터,062-220-3739,29110,9:00,18:00
코로나19 영남권역 예방접종센터,055-360-6701,48330,9:00,18:00
코로나19 대구광역시 중구 예방접종센터,053-661-3955,27110,9:00,18:00
코로나19 서울특별시 성동구 예방접종센터,02-2286-5084,11200,9:00,18:00
코로나19 부산광역시 부산진구 예방접종센터,051-605-8633,26230,9:00,18:00
코로나19 인천광역시 연수구 예방접종센터,032-749-8121,28185,9:00,18:00
코로나19 광주광역시 서구 예방접종센터,062-371-8731,29140,9:00,18:00
코로나19 대전광역시 유성구 예방접종센터,042-611-5050,30200,9:00,18:00
코로나19 울산광역시 중구 예방접종센터,052-290-4941,31110,9:00,18:00
코로나19 세종특별자치시 예방접종센터,044-301-2868,36110,9:00,18:00
코로나19 경기도 수원시 예방접종센터,031-228-3736,41117,9:00,18:00
코로나19 경기도 고양시 일산동구 예방접종센터,031-8075-4830,41285,9:00,18:00
코로나19 강원도 원주시 예방접종센터,033-737-4012,42130,9:00,18:00
코로나19 충청북도 청주시 예방접종센터,043-201-4394,43111,9:00,18:00
코로나19 충청남도 천안시 서북구 예방접종센터,041-521-3013,44133,9:00,18:00
코로나19 전라북도 전주시 예방접종센터,063-281-6621,45111,9:00,18:00
코로나19 전라남도 목포시 예방접종센터,063-270-8939,46110,9:00,18:00
코로나19 경상북도 포항시 남구 예방접종센터,054-270-4959,47111,9:00,18:00
코로나19 경상남도 창원시 마산구 예방접종센터,055-225-7671,48127,9:00,18:00
코로나19 제주특별자치도 제주시 예방접종센터,064-728-4028,50110,9:00,18:00
코로나19 서울특별시 중랑구 예방접종센터,02-2094-0275,11260,9:00,18:00
코로나19 서울특별시 성북구 예방접종센터,02-2241-4305,11290,9:00,18:00
코로나19 서울특별시 노원구 예방접종센터,02-2116-3084,11350,9:00,18:00
코로나19 서울특별시 은평구 예방접종센터,02-351-6187,11380,9:00,18:00
코로나19 서울특별시 동작구 예방접종센터,02-820-1965,11590,9:00,18:00
코로나19 서울특별시 송파구 예방접종센터,02-2147-2131,11710,9:00,18:00
코로나19 부산광역시 남구 예방접종센터,051-607-3725,26290,9:00,18:00
코로나19 인천광역시 서구 예방접종센터,032-560-5053,28260,9:00,18:00
코로나19 광주광역시 남구 예방접종센터,062-607-4336,29155,9:00,18:00
코로나19 울산광역시 남구 예방접종센터,052-226-2399,31140,9:00,18:00
코로나19 경기도 성남시 분당구 예방접종센터,031-729-7105,41135,9:00,18:00
코로나19 경기도 안양시 동안구 예방접종센터,031-8045-4843,41173,9:00,18:00
코로나19 경기도 남양주시 예방접종센터,031-590-2598,41360,9:00,18:00
코로나19 강원도 강릉시 예방접종센터,033-660-2401,42150,9:00,18:00
코로나19 강원도 춘천시 예방접종센터,033-245-5970,42110,9:00,18:00
코로나19 강원도 삼척시 예방접종센터,033-570-4669,42230,9:00,18:00
코로나19 충청북도 충주시 예방접종센터,043-850-0002,43130,9:00,18:00
코로나19 충청북도 음성군 예방접종센터,043-871-4392,43770,9:00,18:00
코로나19 충청남도 아산시 예방접종센터,041-537-3413,44200,9:00,18:00
코로나19 충청남도 논산시 예방접종센터,041-746-8032,44230,9:00,18:00
코로나19 전라북도 군산시 예방접종센터,063-460-0024,45130,9:00,18:00
코로나19 전라북도 정읍시 예방접종센터,063-539-6103,45180,9:00,18:00
코로나19 전라북도 남원시 예방접종센터,063-620-7939,45190,9:00,18:00
코로나19 전라남도 여수시 예방접종센터,061-659-4269,46130,9:00,18:00
코로나19 전라남도 순천시 예방접종센터,061-749-3588,46150,9:00,18:00
코로나19 경상남도 진주시 예방접종센터,055-749-6616,48170,9:00,18:00
코로나19 경상남도 통영시 예방접종센터,055-650-6053,48220,9:00,18:00
코로나19 서울특별시 중구 예방접종센터 ,02-3396-4503,11140,9:00,18:00
코로나19 부산광역시 금정구  예방접종센터 ,051-519-5798,26410,9:00,18:00
코로나19 부산광역시 북구  예방접종센터 ,051-309-7023,26320,9:00,18:00
코로나19 인천광역시 부평구 예방접종센터 ,032-509-8251,28237,9:00,18:00
코로나19 대구광역시 동구 예방접종센터 ,053-662-3236,27140,9:00,18:00
코로나19 대구광역시 달서구 예방접종센터 ,053-667-2225,27290,9:00,18:00
코로나19 울산광역시 북구 예방접종센터 ,052-241-8241,31200,9:00,18:00
코로나19 경기도 안산시 단원구 예방접종센터 ,031-369-1702,41273,9:00,18:00
코로나19 경기도 용인시 처인구 예방접종센터 ,031-324-2716,41461,9:00,18:00
코로나19 경기도 화성시 예방접종센터 ,031-5189-6936,41590,9:00,18:00
코로나19 충청남도 서산시 예방접종센터 ,041-661-8245,44210,9:00,18:00
코로나19 전라남도 광양시 예방접종센터 ,061-797-3789,46230,9:00,18:00
코로나19 전라남도 구례군 예방접종센터 ,061-780-2012,46730,9:00,18:00
코로나19 전라남도 해남군 예방접종센터 ,061-531-3752,46820,9:00,18:00
코로나19 전라남도 영광군 예방접종센터 ,061-350-5562,46870,9:00,18:00
코로나19 경상북도 포항시 북구 예방접종센터 ,054-270-4132,47113,9:00,18:00
코로나19 경상북도 안동시 예방접종센터 ,054-840-5950,47170,9:00,18:00
코로나19 경상북도 영천시 예방접종센터 ,054-339-7781,47230,9:00,18:00
코로나19 경상북도 고령군 예방접종센터 ,054-950-7950,47830,9:00,18:00
코로나19 경상북도 칠곡군 예방접종센터 ,054-979-8255,47850,9:00,18:00
코로나19 서울특별시 구로구 예방접종센터,02-860-3304 ,11530,9:00,18:00
코로나19 서울특별시 용산구 예방접종센터,02-2199-8200,11170,9:00,18:00
코로나19 서울특별시 광진구 예방접종센터,02-450-7102,11215,9:00,18:00
코로나19 서울특별시 강북구 예방접종센터,02-901-6328,11305,9:00,18:00
코로나19 서울특별시 도봉구 예방접종센터,02-2091-2102,11320,9:00,18:00
코로나19 서울특별시 양천구 예방접종센터,02-2620-3058,11470,9:00,18:00
코로나19 서울특별시 강서구 예방접종센터,02-2600-6119,11500,9:00,18:00
코로나19 서울특별시 금천구 예방접종센터,02-2627-2692,11545,9:00,18:00
코로나19 서울특별시 영등포구 예방접종센터,02-2670-3316,11560,9:00,18:00
코로나19 서울특별시 관악구 예방접종센터,02-879-5154,11620,9:00,18:00
코로나19 서울특별시 강동구 예방접종센터,02-3425-5093,11740,9:00,18:00
코로나19 서울특별시 서초구 예방접종센터,02-2155-6142,11650,9:00,18:00
코로나19 서울특별시 종로구 예방접종센터,02-2148-1312,11110,9:00,18:00
코로나19 서울특별시 동대문구 예방접종센터,02-2127-4025,11230,9:00,18:00
코로나19 서울특별시 서대문구 예방접종센터,02-330-1065,11410,9:00,18:00
코로나19 서울특별시 마포구 예방접종센터,02-3153-6332,11440,9:00,18:00
코로나19 서울특별시 강남구 예방접종센터,02-3423-5162,11680,9:00,18:00
코로나19 대구광역시 북구 예방접종센터,053-665-0697,27230,9:00,18:00
코로나19 대구광역시 서구 예방접종센터,053-663-3222,27170,9:00,18:00
코로나19 인천광역시 동구 예방접종센터,032-770-5774,28140,9:00,18:00
코로나19 인천광역시 강화군 예방접종센터,032-930-4045,28710,9:00,18:00
코로나19 광주광역시 동구 예방접종센터,062-608-3394,29110,9:00,18:00
코로나19 광주광역시 북구 예방접종센터,062-410-8118,29170,9:00,18:00
코로나19 광주광역시 광산구 예방접종센터,062-960-6862,29200,9:00,18:00
코로나19 대전광역시 동구 예방접종센터,042-251-4953,30110,9:00,18:00
코로나19 대전광역시 중구 예방접종센터,042-288-8012,30140,9:00,18:00
코로나19 대전광역시 서구 예방접종센터,042-288-2611,30170,9:00,18:00
코로나19 대전광역시 대덕구 예방접종센터,042-608-5431,30230,9:00,18:00
코로나19 울산광역시 동구 예방접종센터,052-209-4101,31170,9:00,18:00
코로나19 울산광역시 울주군 예방접종센터,052-204-2743,31710,9:00,18:00
